SSID,MAC,RSSI,Time,Location
25346,6134,58:86:94:a1:6e:5c,-59,2025-04-24 16:50:33,hall_6141_1_10
25347,,e4:55:a8:6e:63:55,-59,2025-04-24 16:50:33,hall_6141_1_10
25348,SVM5132_2.4GHz,72:5d:cc:4d:b2:a8,-60,2025-04-24 16:50:33,hall_6141_1_10
25349,,12:3f:0b:e2:65:b0,-62,2025-04-24 16:50:33,hall_6141_1_10
25350,,2c:3f:0b:e2:65:73,-62,2025-04-24 16:50:33,hall_6141_1_10
25351,DGU-GUEST,2a:3f:0b:e2:65:73,-62,2025-04-24 16:50:33,hall_6141_1_10
25352,DGU-WIFI,26:3f:0b:e2:65:73,-62,2025-04-24 16:50:33,hall_6141_1_10
25353,DGU-GUEST,2a:3f:1b:e2:65:b6,-64,2025-04-24 16:50:33,hall_6141_1_10
25354,DGU-IoT,22:3f:1b:e2:65:b6,-64,2025-04-24 16:50:33,hall_6141_1_10
25355,kwon,58:86:94:16:3d:88,-64,2025-04-24 16:50:33,hall_6141_1_10
25356,CILab_2G,8a:36:6c:cd:f1:80,-64,2025-04-24 16:50:33,hall_6141_1_10
25357,,12:3f:0b:e2:65:b6,-64,2025-04-24 16:50:33,hall_6141_1_10
25358,DGU-WIFI,26:3f:1b:e2:65:b6,-65,2025-04-24 16:50:33,hall_6141_1_10
25359,eduroam,36:3f:1b:e2:65:b6,-65,2025-04-24 16:50:33,hall_6141_1_10
25360,,2e:3f:1b:e2:65:b6,-65,2025-04-24 16:50:33,hall_6141_1_10
25361,,12:3f:1b:e2:65:b6,-65,2025-04-24 16:50:33,hall_6141_1_10
25362,,da:55:a8:6e:61:a9,-65,2025-04-24 16:50:33,hall_6141_1_10
25363,DGU-IoT,22:3f:0b:e2:65:b0,-65,2025-04-24 16:50:33,hall_6141_1_10
25364,,2c:3f:0b:e2:65:b0,-65,2025-04-24 16:50:33,hall_6141_1_10
25365,6141,70:5d:cc:a3:b4:aa,-66,2025-04-24 16:50:33,hall_6141_1_10
25366,6130,72:5d:cc:c3:6b:0c,-66,2025-04-24 16:50:33,hall_6141_1_10
25367,eduroam,fe:55:a8:6e:51:f5,-66,2025-04-24 16:50:33,hall_6141_1_10
25368,DGU-IoT,ea:55:a8:6e:63:02,-66,2025-04-24 16:50:33,hall_6141_1_10
25369,DGU-GUEST,2a:3f:0b:e2:65:b0,-66,2025-04-24 16:50:33,hall_6141_1_10
25370,DGU-WIFI,26:3f:0b:e2:65:b0,-66,2025-04-24 16:50:33,hall_6141_1_10
25371,eduroam,36:3f:0b:e2:65:b0,-66,2025-04-24 16:50:33,hall_6141_1_10
25372,7132,58:86:94:84:20:d2,-67,2025-04-24 16:50:33,hall_6141_1_10
25373,,da:55:a8:6e:51:f5,-67,2025-04-24 16:50:33,hall_6141_1_10
25374,iptime,70:5d:cc:60:cd:b0,-67,2025-04-24 16:50:33,hall_6141_1_10
25375,DGU-GUEST,e2:55:a8:6e:54:1e,-67,2025-04-24 16:50:33,hall_6141_1_10
25376,DGU-IoT,ea:55:a8:6e:54:1e,-67,2025-04-24 16:50:33,hall_6141_1_10
25377,eduroam,fe:55:a8:6e:54:1e,-67,2025-04-24 16:50:33,hall_6141_1_10
25378,DGU-WIFI,ee:55:a8:6e:54:1e,-67,2025-04-24 16:50:33,hall_6141_1_10
25379,,da:55:a8:6e:52:ac,-67,2025-04-24 16:50:33,hall_6141_1_10
25380,DGU-WIFI,26:3f:0b:e2:65:9a,-68,2025-04-24 16:50:33,hall_6141_1_10
25381,DGU-IoT,22:3f:0b:e2:65:9a,-68,2025-04-24 16:50:33,hall_6141_1_10
25382,,e4:55:a8:6e:54:1e,-68,2025-04-24 16:50:33,hall_6141_1_10
25383,,2c:3f:0b:e2:65:9a,-68,2025-04-24 16:50:33,hall_6141_1_10
25384,DGU-GUEST,2a:3f:0b:e2:65:9a,-68,2025-04-24 16:50:33,hall_6141_1_10
25385,eduroam,36:3f:0b:e2:65:9a,-68,2025-04-24 16:50:33,hall_6141_1_10
25386,ncsa,90:9f:33:90:6f:a6,-69,2025-04-24 16:50:33,hall_6141_1_10
25387,eduroam,fe:55:a8:6e:52:ac,-69,2025-04-24 16:50:33,hall_6141_1_10
25388,,b2:ee:52:de:60:ed,-69,2025-04-24 16:50:33,hall_6141_1_10
25389,[LG_AirPurifier]156e,1e:39:29:78:15:6e,-70,2025-04-24 16:50:33,hall_6141_1_10
25390,mstwifi,58:86:94:99:68:8e,-70,2025-04-24 16:50:33,hall_6141_1_10
25391,plrwap,78:db:2f:10:05:e5,-70,2025-04-24 16:50:33,hall_6141_1_10
25392,,e4:55:a8:6e:52:ac,-70,2025-04-24 16:50:33,hall_6141_1_10
25393,DIRECT-5A-HP Color LJ 4303,e2:73:e7:80:67:5a,-70,2025-04-24 16:50:33,hall_6141_1_10
25394,6105,58:86:94:a1:69:8c,-71,2025-04-24 16:50:33,hall_6141_1_10
25395,10131_2.4G,90:9f:33:28:ca:9a,-72,2025-04-24 16:50:33,hall_6141_1_10
25396,eduroam,fe:55:a8:6e:53:4a,-73,2025-04-24 16:50:33,hall_6141_1_10
25397,DIRECT-erC1810 Series,86:25:19:99:6f:c6,-73,2025-04-24 16:50:33,hall_6141_1_10
25398,DGU-IoT,22:3f:1b:e2:65:9a,-74,2025-04-24 16:50:33,hall_6141_1_10
25399,CSE-3183,82:de:4b:62:c7:ec,-74,2025-04-24 16:50:33,hall_6141_1_10
25400,RAIN,30:23:03:d0:ef:28,-74,2025-04-24 16:50:33,hall_6141_1_10
25401,DGU-GUEST,2a:3f:1b:e2:65:9a,-75,2025-04-24 16:50:33,hall_6141_1_10
25402,DGU-WIFI,26:3f:1b:e2:65:9a,-75,2025-04-24 16:50:33,hall_6141_1_10
25403,bang,00:26:66:fe:8d:74,-75,2025-04-24 16:50:33,hall_6141_1_10
25404,10130,58:86:94:9d:ca:b8,-75,2025-04-24 16:50:33,hall_6141_1_10
25405,Hello,98:de:d0:50:77:1c,-76,2025-04-24 16:50:33,hall_6141_1_10
25406,8136호,88:36:6c:42:28:50,-77,2025-04-24 16:50:33,hall_6141_1_10
25407,,36:23:03:d0:ef:28,-77,2025-04-24 16:50:33,hall_6141_1_10
25408,,12:3f:1b:e2:65:b0,-78,2025-04-24 16:50:33,hall_6141_1_10
25409,CILab_5G,88:36:6c:ad:f1:80,-78,2025-04-24 16:50:33,hall_6141_1_10
25410,EDLAB_2G,88:36:6c:b1:2c:38,-78,2025-04-24 16:50:33,hall_6141_1_10
25411,DGU-GUEST,2a:3f:1b:e2:65:b0,-79,2025-04-24 16:50:33,hall_6141_1_10
25412,DGU-WIFI,26:3f:1b:e2:65:b0,-79,2025-04-24 16:50:33,hall_6141_1_10
25413,DGU-IoT,22:3f:1b:e2:65:b0,-79,2025-04-24 16:50:33,hall_6141_1_10
