                                                                                                         
[Epoch 351] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 352] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 353] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 354] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 355] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 356] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 357] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 358] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 359] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 360] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 361] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 362] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 363] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 364] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 365] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 366] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 367] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 368] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 369] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 370] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 371] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 372] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 373] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 374] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 375] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 376] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 377] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 378] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 379] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 380] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 381] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 382] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 383] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 384] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 385] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 386] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 387] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 388] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 389] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 390] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 391] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 392] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 393] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 394] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 395] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 396] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 397] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 398] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 399] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 400] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 401] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 402] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 403] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 404] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 405] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 406] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 407] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 408] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 409] Train Acc: 0.77% | Val Acc: 0.34%
